"Organisation.Name","Town.City","County","Type...Rating","Route"
"Atlanta Insurance Intermediaries Limited","Salford","","Worker (A rating)","Skilled Worker"
"Brightknightworld media & Events Ltd","GREENWICH","","Temporary Worker (A rating)","Creative Worker"
"CLS UK Intermediate Holdings Ltd","London","","Worker (A rating)","Skilled Worker"
"CLS UK Intermediate Holdings Ltd","London","","Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Eyelinkmedia Limited","London","","Worker (A (Premium))","Skilled Worker"
"Factory Transmedia Limited","Altrincham","","Temporary Worker (A rating)","Creative Worker"
"Fast Fwd Multimedia Ltd","Birmingham","","Worker (A rating)","Skilled Worker"
"Flixmedia Limited","London","","Worker (A rating)","Skilled Worker"
"Geo2 Remediation Limited","Bradford","","Worker (A rating)","Skilled Worker"
"Immediate Future Ltd","Kingston Upon Thames","Surrey","Worker (A rating)","Skilled Worker"
"Immediate Media Company Limited","London","","Worker (A rating)","Skilled Worker"
"Immediate Media Company Limited","London","","Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Immediate Media Company Limited","London","","Temporary Worker (A rating)","Global Business Mobility: Graduate Trainee"
"Immediate Social Care LTD","LONDON","","Worker (A rating)","Skilled Worker"
"immersive multimedia experiences Ltd","London","London","Worker (A rating)","Skilled Worker"
"Intermedia Technologies Company Ltd","Reading","Berkshire","Worker (A rating)","Skilled Worker"
"Intermedia Technologies Company Ltd","Reading","Berkshire","Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Intermediate Captial Group","London","","Worker (A rating)","Skilled Worker"
"Intermediate Captial Group","London","","Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"kushi media ltd","London","","Worker (A rating)","Skilled Worker"
"kushi media ltd","London","","Temporary Worker (A rating)","Creative Worker"
"NHK Cosmomedia (Europe) Ltd","London","","Worker (A rating)","Skilled Worker"
"NHK Cosmomedia (Europe) Ltd","London","","Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"O'Neill Modernmedia (OMM) Ltd","Slough","Berkshire","Worker (A rating)","Skilled Worker"
"Orchard media and Events Ltd","Cardiff","","Temporary Worker (A rating)","Creative Worker"
"Portable Multimedia Limited t/a Nextbase","West End","","Worker (A rating)","Skilled Worker"
"Rantmedia Ltd","Cardiff","","Worker (A rating)","Skilled Worker"
"Sensata Technologies Intermediate UK Limited","Swindon","Wiltshire","Worker (A rating)","Skilled Worker"
"Sensata Technologies Intermediate UK Limited","Swindon","Wiltshire","Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Sintecmedia WEM Ltd","South Ruslip","Middlesex","Worker (A rating)","Skilled Worker"
"Sintecmedia WEM Ltd","South Ruslip","Middlesex","Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Sirius Remediation Ltd","Leeds","","Worker (A rating)","Skilled Worker"
"Synamedia Limited","Staines","","Worker (A rating)","Skilled Worker"
"Synamedia Limited","Staines","","Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Wikimedia UK","London","","Worker (A rating)","Skilled Worker"
